# Coefficient de forme pour la neige μ₁ — logiciel de référence MD Bat (Poutr M)
# μ₁ = 0.8 pour toutes les pentes de 0° à 60°, sans réduction pour pente > 30°.
# Pour pente > 60° : μ₁ = 0.0 (clip dans le code via np.interp + clip(0)).
#
# Note : EN 1991-1-3 §5.3.2 applique une réduction linéaire de 0.8 à 0 entre 30° et 60°.
# MD Bat n'applique pas cette réduction (μ₁ = 0.8 constant jusqu'à 60°) — choix conservateur.
# Pour retrouver le comportement EN strict, remplacer la ligne 60;0.80 par 30;0.80 et 60;0.00.
pente_deg;mu1
0;0.80
60;0.80
